User_ID,Name,Age,Country,Signup_Date,Email_Confirmed,Subscription_Type,Monthly_Spend,Churned
1,Grace,57,UK,2022-09-03,False,Basic,358.95,No
2,David,50,USA,2022-04-23,False,Enterprise,135.19,Yes
3,Eve,21,Australia,2022-12-15,False,Basic,178.2,No
4,Grace,21,Germany,2022-04-21,False,Basic,443.45,Yes
5,Charlie,46,Canada,2023-06-09,True,Enterprise,212.48,Yes
6,Eve,54,UK,2020-07-30,True,Free,176.59,Yes
7,Eve,37,India,2021-12-11,True,Enterprise,156.83,Yes
8,Grace,58,USA,2021-10-23,True,Premium,446.47,No
9,Bob,40,USA,2019-03-18,False,Premium,211.42,Yes
10,Charlie,35,UK,2023-07-29,False,Free,438.57,No
11,Grace,42,India,2020-08-04,False,Premium,150.14,No
12,Charlie,18,USA,2023-08-25,False,Enterprise,489.15,No
13,Charlie,32,Australia,2020-08-30,False,Enterprise,251.4,No
14,Eve,51,Germany,2021-11-05,False,Premium,82.31,No
15,David,37,Australia,2019-08-18,False,Basic,212.04,Yes
16,Charlie,54,India,2021-06-22,False,Premium,340.88,Yes
17,Faythe,44,Australia,2021-07-05,False,Free,443.92,No
18,Eve,39,Canada,2021-06-07,False,Premium,63.54,No
19,Bob,22,Germany,2022-07-14,True,Free,279.22,Yes
20,David,51,India,2022-08-22,True,Free,266.32,No
21,Faythe,56,UK,2021-10-26,False,Enterprise,164.18,No
22,Faythe,20,USA,2022-02-07,False,Premium,204.29,Yes
23,Bob,34,Germany,2019-05-23,False,Basic,152.3,Yes
24,David,41,UK,2023-08-18,True,Free,151.2,Yes
25,Eve,41,India,2019-07-26,False,Premium,266.69,No
26,Alice,20,Canada,2020-03-04,True,Premium,30.03,Yes
27,David,24,USA,2019-06-15,False,Enterprise,240.66,Yes
28,Bob,42,USA,2019-09-17,True,Basic,162.15,Yes
29,Faythe,20,Germany,2023-09-05,False,Basic,232.19,Yes
30,Eve,32,UK,2020-01-29,True,Premium,487.49,No
31,David,46,India,2019-05-01,False,Basic,370.63,Yes
32,Alice,46,India,2021-08-07,True,Free,430.74,Yes
33,Alice,27,UK,2020-02-17,False,Enterprise,185.74,No
34,Charlie,49,USA,2022-03-09,False,Premium,352.91,Yes
35,Charlie,40,UK,2019-06-17,False,Basic,231.57,No
36,Grace,56,Australia,2022-01-12,True,Premium,298.55,Yes
37,Bob,26,India,2020-02-25,True,Basic,218.99,Yes
38,David,54,UK,2023-09-26,True,Free,65.85,No
39,David,57,USA,2021-02-26,True,Premium,473.67,No
40,Grace,31,Germany,2019-09-25,False,Enterprise,353.18,No
41,Faythe,21,Australia,2019-02-07,False,Basic,300.3,Yes
42,Faythe,37,USA,2021-07-14,False,Enterprise,280.39,Yes
43,Grace,45,Canada,2022-08-19,True,Enterprise,361.44,Yes
44,Faythe,31,Canada,2019-12-04,False,Free,266.27,Yes
45,Charlie,51,UK,2023-11-13,True,Free,107.96,Yes
46,David,30,USA,2019-11-26,True,Basic,3.66,No
47,Grace,48,USA,2019-07-18,True,Premium,191.54,Yes
48,David,50,India,2021-03-20,False,Basic,281.81,No
49,Alice,56,Germany,2019-01-05,True,Basic,185.88,No
50,Charlie,45,Australia,2022-12-26,True,Free,266.66,No
51,Eve,42,USA,2021-09-15,True,Basic,332.44,Yes
52,Charlie,49,Australia,2022-10-26,True,Basic,404.93,Yes
53,Grace,26,UK,2021-06-13,True,Premium,149.32,Yes
54,Eve,45,India,2019-04-13,False,Basic,316.59,Yes
55,Alice,48,Australia,2020-03-10,True,Premium,445.89,No
56,Grace,34,Australia,2020-10-11,True,Basic,76.22,Yes
57,Bob,40,Australia,2020-01-16,True,Free,345.25,No
58,David,30,Australia,2019-03-07,True,Basic,457.23,No
59,Alice,27,Australia,2020-08-01,False,Premium,335.67,Yes
60,David,33,India,2019-09-27,True,Enterprise,46.29,Yes
61,Faythe,23,UK,2019-02-16,False,Premium,141.57,Yes
62,Bob,28,Australia,2021-07-04,True,Basic,94.74,Yes
63,Bob,20,Australia,2019-12-31,True,Basic,456.18,Yes
